Ano,Mês,Vereador,Especificação,Credor,CNPJ,Valor Total,Saldo
2024,7,ADAIL JR,Vale Combustível,PRIME LTDA,05.340.639/0001-30,6844.0,20294.13
2024,7,ADAIL JR,Vale Alimentação,SODEXO PASS DO BRASIL,69.034.668/0001-56,4720.0,15574.13
2024,7,ADAIL JR,Vale Restaurante,SODEXO PASS DO BRASIL,69.034.668/0001-56,2360.0,13214.13
2024,7,ADAIL JR,Passcard´s Eletrônicos,SINDIÔNIBUS,07.341.423/0001-14,0.0,13214.13
2024,7,ADAIL JR,Despesas com Locação de Veículo,CASABLANCA RENT A CAR,03.977.401/0001-94,9440.0,3774.13
2024,7,ADRIANA ALMEIDA ( SUPLENTE ),Vale Combustível,PRIME LTDA,05.340.639/0001-30,7850.0,19288.13
2024,7,ADRIANA ALMEIDA ( SUPLENTE ),Vale Alimentação,SODEXO PASS DO BRASIL,69.034.668/0001-56,5420.0,13868.13
2024,7,ADRIANA ALMEIDA ( SUPLENTE ),Vale Restaurante,SODEXO PASS DO BRASIL,69.034.668/0001-56,2710.0,11158.13
2024,7,ADRIANA ALMEIDA ( SUPLENTE ),Passcard´s Eletrônicos,SINDIÔNIBUS,07.341.423/0001-14,1242.0,9916.13
2024,7,ADRIANA ALMEIDA ( SUPLENTE ),Despesas com Telefonia Móvel,TELEFÔNICA BRASIL S.A,02.558.157/0001/62,37.99,9878.14
2024,7,ADRIANA ALMEIDA ( SUPLENTE ),Despesas com Locação de Veículo,CASABLANCA RENT A CAR,03.977.401/0001-94,3619.14,6259.0
2024,7,ADRIANA ALMEIDA ( SUPLENTE ),Despesas com Locação de Ônibus,CASABLANCA RENT A CAR,03.977.401/0001-94,1435.0,4824.0
2024,7,ADRIANA ALMEIDA ( SUPLENTE ),Despesas com Locação de Veículo,CASABLANCA RENT A CAR,03.977.401/0001-94,4820.0,4.0
2024,7,ADRIANA NOSSA  CARA,Vale Combustível,PRIME LTDA,05.340.639/0001-30,6740.0,20398.13
2024,7,ADRIANA NOSSA  CARA,Vale Alimentação,SODEXO PASS DO BRASIL,69.034.668/0001-56,4700.0,15698.13
2024,7,ADRIANA NOSSA  CARA,Vale Restaurante,SODEXO PASS DO BRASIL,69.034.668/0001-56,2080.0,13618.13
2024,7,ADRIANA NOSSA  CARA,Passcard´s Eletrônicos,SINDIÔNIBUS,07.341.423/0001-14,2268.0,11350.13
2024,7,ADRIANA NOSSA  CARA,Despesas com  Telefonia Móvel,TIM S.A,02.421421/0001-11,63.0,11287.13
2024,7,ADRIANA NOSSA  CARA,Despesas com Consultoria Jurídica,BRUNO DE SOUSA-SOC.IND.ADVOCACIA,47.771.413/0001-33,3849.0,7438.13
2024,7,ADRIANA NOSSA  CARA,Despesas com Locação de Veículo,CASABLANCA RENT A CAR,03.977.401/0001-94,3619.14,3818.99
2024,7,ANA ARACAPÉ,Vale Combustível,PRIME LTDA,05.340.639/0001-30,7870.06,19268.07
2024,7,ANA ARACAPÉ,Vale Alimentação,SODEXO PASS DO BRASIL,69.034.668/0001-56,5427.63,13840.44
2024,7,ANA ARACAPÉ,Vale Restaurante,SODEXO PASS DO BRASIL,69.034.668/0001-56,2713.0,11127.44
2024,7,ANA ARACAPÉ,Passcard´s Eletrônicos,SINDIÔNIBUS,07.341.423/0001-14,279.0,10848.44
2024,7,ANA ARACAPÉ,Despesas com Serviço Gráfico,GRÁFICA SOLUÇÃO,19.386.760/0001-07,6636.0,4212.44
2024,7,ANA ARACAPÉ,Despesas com Locação de Veículo,CASABLANCA RENT A CAR,03.977.401/0001-94,3619.14,593.3
2024,7,ANA ARACAPÉ,Despesas com Locação de Veículo,CASABLANCA RENT A CAR,03.977.401/0001-94,460.8,132.5
2024,7,ANA PAULA,Vale Combustível,PRIME LTDA,05.340.639/0001-30,5492.0,21646.13
2024,7,ANA PAULA,Vale Alimentação,SODEXO PASS DO BRASIL,69.034.668/0001-56,5420.0,16226.13
2024,7,ANA PAULA,Vale Restaurante,SODEXO PASS DO BRASIL,69.034.668/0001-56,2470.51,13755.62
2024,7,ANA PAULA,Passcard´s Eletrônicos,SINDIÔNIBUS,07.341.423/0001-14,0.0,13755.62
2024,7,ANA PAULA,Despesas com Telefonia Móvel,TELEFÔNICA BRASIL S.A,02.558.157/0001/62,169.32,13586.3
2024,7,ANA PAULA,Despesas com Serviço Gráfico,GRÁFICA PRINTCOLOR,02.824.298/0001-80,6769.3,6817.0
2024,7,ANA PAULA,Despesas com Locação de Veículo,CASABLANCA RENT A CAR,03.977.401/0001-94,6817.0,0.0
2024,7,ANDREZA CRISTINA (SUPLENTE),Vale Combustível,PRIME LTDA,05.340.639/0001-30,7870.0,19268.13
2024,7,ANDREZA CRISTINA (SUPLENTE),Vale Alimentação,SODEXO PASS DO BRASIL,69.034.668/0001-56,5427.0,13841.13
2024,7,ANDREZA CRISTINA (SUPLENTE),Vale Restaurante,SODEXO PASS DO BRASIL,69.034.668/0001-56,2713.0,11128.13
2024,7,ANDREZA CRISTINA (SUPLENTE),Passcard´s Eletrônicos,SINDIÔNIBUS,07.341.423/0001-14,0.0,11128.13
2024,7,ANDREZA CRISTINA (SUPLENTE),Despesas com Serviço Gráfico,GRÁFICA INFORGRAF,35.432.845/0001-30,3981.6,7146.53
2024,7,ANDREZA CRISTINA (SUPLENTE),Desp.com Comunicação e Divulg. de Mandato,PRM Comunic.Gestão Emp. ltda,37.842.306/0001-03,6500.0,646.53
2024,7,ANDREZA CRISTINA (SUPLENTE),.,NA,NA,0.0,0.0
2024,7,BRUNO MESQUITA,Vale Combustível,PRIME LTDA,05.340.639/0001-30,7844.0,19294.13
2024,7,BRUNO MESQUITA,Vale Alimentação,SODEXO PASS DO BRASIL,69.034.668/0001-56,5420.0,13874.13
2024,7,BRUNO MESQUITA,Vale Restaurante,SODEXO PASS DO BRASIL,69.034.668/0001-56,2710.0,11164.13
2024,7,BRUNO MESQUITA,Passcard´s Eletrônicos,SINDIÔNIBUS,07.341.423/0001-14,0.0,11164.13
2024,7,BRUNO MESQUITA,Despesas com Serviço Gráfico,GRÁFICA RDS,02.265.186/0001-36,5417.0,5747.13
2024,7,BRUNO MESQUITA,Despesas com Locação de Veículo,CASABLANCA RENT A CAR,03.977.401/0001-94,5670.0,77.13
2024,7,CARLOS MESQUITA,Vale Combustível,PRIME LTDA,05.340.639/0001-30,7870.06,19268.07
2024,7,CARLOS MESQUITA,Vale Alimentação,SODEXO PASS DO BRASIL,69.034.668/0001-56,5427.63,13840.44
2024,7,CARLOS MESQUITA,Vale Restaurante,SODEXO PASS DO BRASIL,69.034.668/0001-56,2713.81,11126.63
